,Id,degree,group
0,516440632.0,307,2.0
1,599859650.0,301,2.0
2,205915258.0,250,2.0
3,1210627806.0,246,3.0
4,79807769.0,245,2.0
5,575275357.0,221,2.0
6,373464462.0,220,2.0
7,544466882.0,217,1.0
8,921718784.0,215,2.0
9,611649223.0,199,2.0
10,1317061333.0,198,2.0
11,1074694838.0,195,2.0
12,491044079.0,192,2.0
13,1022356584.0,190,2.0
14,36129150.0,183,2.0
15,1029436669.0,178,2.0
16,763855561.0,172,2.0
17,478936319.0,172,2.0
18,1157628397.0,167,2.0
19,205821431.0,165,2.0
20,16244891.0,162,1.0
21,613429101.0,160,0.0
22,231430595.0,153,2.0
23,426664737.0,148,2.0
24,37728789.0,132,2.0
25,17394758.0,127,1.0
26,549862794.0,127,0.0
27,266898327.0,119,1.0
28,188500598.0,116,0.0
29,18352761.0,113,0.0
30,912345692.0,111,1.0
31,1005209094.0,110,0.0
32,93874520.0,109,0.0
33,166183813.0,108,1.0
34,2186630257.0,105,2.0
35,326352942.0,104,3.0
36,718831308.0,104,2.0
37,614693405.0,103,1.0
38,487352746.0,100,3.0
39,294149040.0,99,1.0
40,987646591.0,98,1.0
41,272965603.0,95,1.0
42,1117043418.0,94,1.0
43,1225998914.0,92,0.0
44,91313476.0,92,1.0
45,57008913.0,89,3.0
46,347715542.0,88,1.0
47,330328197.0,86,3.0
48,62397252.0,85,1.0
49,166252198.0,85,3.0
50,275675429.0,82,0.0
51,2187233760.0,79,1.0
52,704207840.0,79,1.0
53,898176697.0,79,0.0
54,277088720.0,72,3.0
55,23745634.0,72,3.0
56,95982652.0,70,1.0
57,15703186.0,70,1.0
58,1701978805.0,69,2.0
59,65420357.0,69,1.0
60,183067177.0,68,1.0
61,909938851.0,67,1.0
62,1160198826.0,67,2.0
63,1637860849.0,66,2.0
64,1932720145.0,65,1.0
65,1325283566.0,64,1.0
66,3329411729.0,64,1.0
67,213228400.0,64,3.0
68,100658567.0,64,0.0
69,2175021342.0,63,3.0
70,8.652700891505418e+17,63,1.0
71,8.652700891505418e+17,63,1.0
72,23834147.0,63,2.0
73,183177218.0,60,1.0
74,3234030582.0,60,3.0
75,24863440.0,59,1.0
76,191159103.0,57,1.0
77,95875062.0,55,1.0
78,189162903.0,54,3.0
79,547116712.0,54,3.0
80,806963953.0,52,2.0
81,41131859.0,52,3.0
82,244101096.0,52,0.0
83,1133289522.0,50,3.0
84,2291628254.0,50,3.0
85,574978714.0,50,1.0
86,203253392.0,50,1.0
87,372262602.0,49,1.0
88,437653620.0,48,0.0
89,17552387.0,48,1.0
90,9.975779918435287e+17,48,3.0
91,3065929617.0,46,3.0
92,846327540.0,45,3.0
93,66973788.0,44,0.0
94,1471478042.0,44,1.0
95,479816451.0,44,1.0
96,90422426.0,44,2.0
97,134835729.0,43,3.0
98,2505359724.0,42,1.0
99,3163772001.0,42,2.0
100,1711459278.0,41,2.0
101,169899371.0,41,1.0
102,8.896235594247946e+17,40,3.0
103,291261221.0,40,3.0
104,1367137064.0,40,2.0
105,498261022.0,40,0.0
106,19396614.0,39,0.0
107,781753796.0,39,3.0
108,15396298.0,39,0.0
109,389982044.0,39,3.0
110,846344095.0,39,3.0
111,49223585.0,39,0.0
112,17606918.0,38,1.0
113,2599964088.0,38,3.0
114,37885887.0,38,3.0
115,85672875.0,37,3.0
116,1340593538.0,37,2.0
117,29264664.0,36,3.0
118,59386332.0,35,1.0
119,2603023009.0,35,3.0
120,67912605.0,35,3.0
121,1.0776669903560294e+18,34,3.0
122,33098495.0,34,1.0
123,35009875.0,34,1.0
124,45436858.0,34,0.0
125,906406206.0,33,2.0
126,435516305.0,33,0.0
127,2320799292.0,33,2.0
128,184545167.0,33,3.0
129,33923443.0,32,0.0
130,1860704768.0,32,3.0
131,160134542.0,32,0.0
132,2557265432.0,32,2.0
133,8.002853482615562e+17,31,1.0
134,2320821690.0,31,0.0
135,447774896.0,30,2.0
136,1.2890443268158054e+18,30,1.0
137,1.2890443268158054e+18,30,1.0
138,16248319.0,30,0.0
139,22190083.0,29,0.0
140,292249918.0,29,2.0
141,293739081.0,29,0.0
142,795475314.0,29,0.0
143,3021274672.0,29,3.0
144,141764283.0,29,2.0
145,9.975779918435288e+17,28,3.0
146,9.111481532308562e+17,28,
147,30947125.0,28,3.0
148,400011408.0,27,1.0
149,42953038.0,27,3.0
150,347261357.0,27,0.0
151,450894516.0,27,0.0
152,53017384.0,27,3.0
153,537219894.0,27,1.0
154,2270157884.0,27,3.0
155,123032639.0,27,0.0
156,619965810.0,27,1.0
157,1135920847.0,27,3.0
158,18104730.0,26,1.0
159,75742264.0,26,1.0
160,2207541182.0,26,3.0
161,473080263.0,25,1.0
162,563907421.0,25,2.0
163,14920914.0,25,1.0
164,14157179.0,25,3.0
165,124558745.0,25,0.0
166,21993071.0,25,2.0
167,210684204.0,24,1.0
168,147383043.0,24,2.0
169,806497141.0,24,2.0
170,41089937.0,24,3.0
171,259873788.0,24,1.0
172,344653120.0,24,1.0
173,1713783080.0,23,2.0
174,9.688935943281828e+17,23,1.0
175,125319989.0,23,1.0
176,9.126151046671606e+17,23,3.0
177,636575082.0,23,3.0
178,370343276.0,23,3.0
179,22984215.0,23,2.0
180,15066876.0,23,0.0
181,47771556.0,23,2.0
182,3119966597.0,22,1.0
183,92686819.0,22,2.0
184,3975299597.0,22,3.0
185,455451340.0,22,0.0
186,2812472208.0,22,3.0
187,350509998.0,22,0.0
188,123231225.0,22,1.0
189,1177869666.0,22,2.0
190,117982625.0,22,1.0
191,16885335.0,22,2.0
192,25081451.0,22,1.0
193,387341952.0,22,0.0
194,84141876.0,22,2.0
195,983142398.0,22,2.0
196,359188534.0,21,3.0
197,18536718.0,21,2.0
198,1239425359.0,21,2.0
199,796865010.0,21,2.0
200,357452342.0,21,1.0
201,18637420.0,21,0.0
202,1572602677.0,21,2.0
203,20739133.0,21,1.0
204,996054186.0,21,1.0
205,151934168.0,21,0.0
206,20923610.0,21,0.0
207,318106877.0,21,3.0
208,2334123326.0,21,1.0
209,87606674.0,21,0.0
210,298141096.0,21,2.0
211,17026589.0,21,1.0
212,289339141.0,21,2.0
213,98201361.0,21,2.0
214,7.459484988272845e+17,20,3.0
215,27150431.0,20,0.0
216,50516203.0,20,1.0
217,402774333.0,20,2.0
218,73986605.0,20,0.0
219,252785239.0,20,3.0
220,7.420532462193418e+17,20,0.0
221,280669008.0,20,3.0
222,16167957.0,20,1.0
223,572609848.0,20,1.0
224,217468218.0,20,2.0
225,2893231512.0,20,2.0
226,81305054.0,20,3.0
227,474738142.0,20,2.0
228,219667972.0,20,1.0
229,860884598.0,20,3.0
230,202120926.0,20,3.0
231,15300423.0,20,3.0
232,456122274.0,20,2.0
233,8.82656680487551e+17,19,1.0
234,930127944.0,19,2.0
235,340070516.0,19,2.0
236,17467699.0,19,3.0
237,338432393.0,19,2.0
238,141636248.0,19,0.0
239,98097823.0,19,0.0
240,61197041.0,19,3.0
241,83678036.0,19,2.0
242,169317229.0,19,2.0
243,44817367.0,19,2.0
244,2445652957.0,19,1.0
245,1321767960.0,19,2.0
246,238308510.0,19,1.0
247,39077431.0,19,0.0
248,605386346.0,19,2.0
249,40953465.0,19,1.0
250,21360280.0,19,0.0
251,12093082.0,19,3.0
252,9.941140170641162e+17,19,3.0
253,20414217.0,19,0.0
254,1372550988.0,19,2.0
255,1272407948.0,19,0.0
256,63219690.0,19,1.0
257,3641079799.0,19,3.0
258,44425296.0,18,2.0
259,26548315.0,18,3.0
260,494305756.0,18,2.0
261,23429657.0,18,2.0
262,1072038426.0,18,3.0
263,3971883682.0,18,1.0
264,42300159.0,18,0.0
265,76348185.0,18,2.0
266,519635753.0,18,2.0
267,351124495.0,18,1.0
268,18570258.0,18,1.0
269,59708490.0,18,1.0
270,515802475.0,18,2.0
271,3130627486.0,18,3.0
272,24733117.0,18,0.0
273,921759169.0,18,1.0
274,58422750.0,18,2.0
275,314613453.0,18,0.0
276,123006717.0,18,1.0
277,600637195.0,18,3.0
278,36032320.0,18,0.0
279,310030170.0,18,0.0
280,46096376.0,18,0.0
281,8.141697275682202e+17,17,3.0
282,8.595606710457549e+17,17,1.0
283,1246335020.0,17,2.0
284,771905612.0,17,2.0
285,3080291.0,17,3.0
286,224028874.0,17,2.0
287,3405541642.0,17,0.0
288,600824096.0,17,2.0
289,498141551.0,17,2.0
290,59228570.0,17,2.0
291,2257558088.0,17,0.0
292,88507018.0,17,2.0
293,19178148.0,17,3.0
294,39047949.0,17,0.0
295,140079968.0,17,2.0
296,23780201.0,17,2.0
297,1.0444834651507548e+18,17,1.0
298,19401910.0,17,3.0
299,1006329061.0,17,2.0
300,2778944996.0,17,2.0
301,388847099.0,17,2.0
302,380389113.0,17,2.0
303,20268832.0,17,1.0
304,205541157.0,17,0.0
305,353900350.0,17,2.0
306,904408999.0,17,1.0
307,226891781.0,16,1.0
308,1401045002.0,16,0.0
309,938657858.0,16,0.0
310,450013344.0,16,3.0
311,413722885.0,16,2.0
312,23118150.0,16,0.0
313,1372641625.0,16,3.0
314,2823694738.0,16,1.0
315,345864624.0,16,2.0
316,715927987.0,16,2.0
317,182493733.0,16,0.0
318,49760807.0,16,1.0
319,320524842.0,16,1.0
320,362074693.0,16,3.0
321,386982500.0,16,2.0
322,1415928464.0,16,3.0
323,801278610.0,16,2.0
324,4876073664.0,16,2.0
325,65577676.0,16,0.0
326,2904595194.0,16,2.0
327,19827680.0,16,0.0
328,95740980.0,16,1.0
329,595633209.0,16,2.0
330,18539631.0,16,0.0
331,8.328030701153526e+17,16,1.0
332,8.328030701153526e+17,16,1.0
333,1067750762.0,16,2.0
334,153134508.0,16,3.0
335,17536486.0,16,0.0
336,35767916.0,16,0.0
337,7.387343445383455e+17,16,1.0
338,407770771.0,16,2.0
339,54964122.0,16,2.0
340,8.778796269655818e+17,15,0.0
341,2644910088.0,15,1.0
342,873226260.0,15,2.0
343,438442076.0,15,2.0
344,227094633.0,15,2.0
345,37599351.0,15,0.0
346,23380154.0,15,2.0
347,382134482.0,15,2.0
348,2334947540.0,15,1.0
349,933325062.0,15,1.0
350,16261638.0,15,0.0
351,28914186.0,15,0.0
352,755431974.0,15,2.0
353,244746802.0,15,0.0
354,245191224.0,15,1.0
355,3111850551.0,15,2.0
356,590588486.0,15,2.0
357,81619592.0,15,0.0
358,189938343.0,15,2.0
359,558533314.0,15,2.0
360,455174939.0,15,2.0
361,61569821.0,15,1.0
362,401775393.0,15,1.0
363,197180210.0,15,1.0
364,705436512.0,15,2.0
365,503479172.0,15,2.0
366,948831122.0,15,3.0
367,211917765.0,15,1.0
368,594582469.0,15,2.0
369,635808709.0,15,2.0
370,21621749.0,15,0.0
371,444378105.0,15,0.0
372,593206283.0,15,1.0
373,22838286.0,15,2.0
374,283091990.0,15,2.0
375,621794372.0,15,2.0
376,318383192.0,15,0.0
377,40428645.0,15,3.0
378,1166603371.0,15,2.0
379,7.48380377253843e+17,15,2.0
380,63135089.0,15,1.0
381,2235067801.0,15,2.0
382,2456223144.0,15,3.0
383,95468980.0,15,1.0
384,260900316.0,15,2.0
385,431529466.0,15,2.0
386,16383523.0,15,0.0
387,612359723.0,15,2.0
388,1136086656.0,15,2.0
389,2690688900.0,15,1.0
390,339904443.0,15,2.0
391,124436459.0,15,3.0
392,791132196.0,14,2.0
393,1311221828.0,14,2.0
394,1550309448.0,14,2.0
395,37836873.0,14,0.0
396,17879144.0,14,0.0
397,65589378.0,14,0.0
398,15210670.0,14,1.0
399,240664803.0,14,3.0
400,444940567.0,14,0.0
401,271069523.0,14,1.0
402,981688693.0,14,2.0
403,182915458.0,14,2.0
404,17850785.0,14,1.0
405,67604977.0,14,2.0
406,2341853726.0,14,3.0
407,1933042237.0,14,0.0
408,1292483263.0,14,2.0
409,3875861234.0,14,2.0
410,1167196928.0,14,2.0
411,160404282.0,14,0.0
412,142791487.0,14,2.0
413,91298698.0,14,0.0
414,290012051.0,14,2.0
415,1278889040.0,14,2.0
416,101897322.0,14,1.0
417,7.264903024884163e+17,14,2.0
418,1329988831.0,14,2.0
419,2337119462.0,14,1.0
420,506201323.0,14,1.0
421,3037187311.0,14,3.0
422,65563900.0,14,0.0
423,1031351556.0,14,2.0
424,299691268.0,14,2.0
425,857646362.0,14,2.0
426,108045600.0,14,0.0
427,267449695.0,14,0.0
428,8.652700891505418e+17,14,1.0
429,8.652700891505418e+17,14,1.0
430,43662728.0,14,2.0
431,258430354.0,14,0.0
432,602092974.0,14,2.0
433,482133423.0,14,3.0
434,715943354.0,14,2.0
435,19316226.0,14,2.0
436,80117255.0,14,2.0
437,35538459.0,14,1.0
438,1093256749.0,14,2.0
439,389359161.0,14,1.0
440,300875329.0,14,3.0
441,2388848229.0,14,3.0
442,9.56250134786003e+17,14,1.0
443,1133833939.0,14,2.0
444,15081182.0,14,0.0
445,314801916.0,14,1.0
446,210781980.0,14,2.0
447,901101350.0,14,1.0
448,2803369776.0,14,3.0
449,546928462.0,14,2.0
450,2872661847.0,14,0.0
451,863778656.0,14,0.0
452,123570035.0,14,2.0
453,997834628.0,14,1.0
454,925562760.0,14,2.0
455,2784464793.0,14,0.0
456,889456622.0,14,2.0
457,456865788.0,14,1.0
458,1.1743476960958423e+18,13,3.0
459,1.1743476960958423e+18,13,3.0
460,7.173720529660969e+17,13,3.0
461,188213257.0,13,1.0
462,70596637.0,13,2.0
463,27484203.0,13,0.0
464,810993716.0,13,2.0
465,10340482.0,13,0.0
466,8.21933283671937e+17,13,3.0
467,7.689780206903419e+17,13,2.0
468,856338638.0,13,2.0
469,106995919.0,13,2.0
470,1267982563.0,13,3.0
471,115798248.0,13,2.0
472,136263931.0,13,2.0
473,7.714260854603858e+17,13,1.0
474,1686020359.0,13,3.0
475,496523531.0,13,2.0
476,886681915.0,13,3.0
477,856148305.0,13,1.0
478,57700707.0,13,0.0
479,73013623.0,13,0.0
480,359037337.0,13,1.0
481,265085341.0,13,2.0
482,1453801898.0,13,2.0
483,1371474391.0,13,2.0
484,62519796.0,13,2.0
485,353917446.0,13,0.0
486,39086606.0,13,1.0
487,133507637.0,13,1.0
488,559465028.0,13,1.0
489,223894083.0,13,2.0
490,167760471.0,13,0.0
491,69681766.0,13,0.0
492,9.240137142228296e+17,13,3.0
493,302881437.0,13,0.0
494,314331143.0,13,2.0
495,461009582.0,13,2.0
496,17070787.0,13,0.0
